"BehaviorSpace results (NetLogo 6.2.2)"
"escenarios.nlogo"
"experiment_1"
"06/24/2022 17:21:39:166 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","pasosmax","angulomax","[step]","restoverde","restoalimento","tiempo"
"627","1","90","30","29","76","30"
"628","1","90","32","43","106","32"
"629","1","90","28","44","120","28"
"631","1","90","28","50","133","28"
"633","1","90","28","40","94","28"
"632","1","90","28","50","132","28"
"630","1","90","46","37","80","46"
"634","1","90","30","40","85","30"
"635","1","90","28","39","97","28"
"636","1","90","30","37","103","30"
"637","1","90","30","39","97","30"
"638","1","90","30","36","82","30"
"640","1","90","26","30","85","26"
"639","1","90","34","28","70","34"
"641","1","90","30","46","136","30"
"642","1","90","32","26","65","32"
"643","1","90","32","46","103","32"
"644","1","90","28","46","117","28"
"646","1","90","30","40","86","30"
"645","1","90","28","31","79","28"
"648","1","90","28","53","125","28"
"647","1","90","28","41","118","28"
"649","1","90","30","43","110","30"
"650","1","90","28","46","123","28"
"651","1","90","30","39","97","30"
"653","1","90","30","45","104","30"
"655","1","90","30","39","119","30"
"656","1","90","28","38","89","28"
"652","1","90","34","35","82","34"
"657","1","90","36","46","115","36"
"658","1","90","26","38","93","26"
"659","1","90","28","43","93","28"
"654","1","90","34","35","76","34"
"660","1","90","28","42","121","28"
"661","1","90","32","37","102","32"
"663","1","90","30","43","108","30"
"662","1","90","34","36","81","34"
"664","1","90","28","40","98","28"
"665","1","90","28","42","118","28"
"666","1","90","32","35","87","32"
"668","1","90","32","37","103","32"
"669","1","90","28","45","117","28"
"667","1","90","34","42","103","34"
"670","1","90","28","47","125","28"
"671","1","90","30","44","107","30"
"672","1","90","28","44","95","28"
"674","1","90","30","46","128","30"
"673","1","90","28","35","87","28"
"675","1","90","32","37","83","32"
"676","1","90","26","47","126","26"
"678","1","90","28","32","61","28"
"679","1","90","32","27","60","32"
"677","1","90","26","35","80","26"
"680","1","90","32","47","120","32"
"682","1","90","30","44","145","30"
"681","1","90","44","46","115","44"
"683","1","90","30","39","109","30"
"684","1","90","38","36","87","38"
"685","1","90","28","44","112","28"
"690","1","90","30","46","107","30"
"689","1","90","34","35","81","34"
"686","1","90","34","41","108","34"
"688","1","90","28","44","111","28"
"687","1","90","26","38","95","26"
"691","1","90","28","43","96","28"
"694","1","90","28","41","125","28"
"692","1","90","32","47","112","32"
"693","1","90","30","49","106","30"
"695","1","90","32","39","87","32"
"697","1","90","26","48","171","26"
"696","1","90","30","40","113","30"
"698","1","90","28","29","75","28"
"699","1","90","28","34","81","28"
"700","1","90","30","37","94","30"
"701","1","90","28","29","67","28"
"702","1","90","32","39","109","32"
"703","1","90","30","39","109","30"
"704","1","90","26","42","120","26"
"705","1","90","26","38","88","26"
"709","1","90","32","42","115","32"
"706","1","90","30","39","113","30"
"707","1","90","32","45","107","32"
"710","1","90","26","45","109","26"
"708","1","90","30","43","129","30"
"713","1","90","30","59","159","30"
"711","1","90","30","40","91","30"
"712","1","90","40","29","67","40"
"714","1","90","28","41","123","28"
"716","1","90","30","30","83","30"
"715","1","90","38","45","147","38"
"717","1","90","30","37","93","30"
"718","1","90","28","40","98","28"
"719","1","90","28","35","77","28"
"720","1","90","28","38","84","28"
"721","1","90","26","38","106","26"
"722","1","90","26","46","103","26"
"723","1","90","30","44","97","30"
"724","1","90","28","46","119","28"
"726","1","90","34","41","100","34"
"725","1","90","34","45","111","34"
"728","1","90","32","37","94","32"
"727","1","90","30","46","114","30"
"730","1","90","32","41","128","32"
"729","1","90","36","35","116","36"
"731","1","90","30","44","109","30"
"732","1","90","36","37","99","36"
"733","1","90","34","44","124","34"
"734","1","90","28","39","103","28"
"735","1","90","28","40","121","28"
"736","1","90","28","34","89","28"
"737","1","90","28","36","86","28"
"739","1","90","28","38","83","28"
"738","1","90","28","43","109","28"
"741","1","90","30","37","93","30"
"742","1","90","30","41","98","30"
"740","1","90","28","38","91","28"
"743","1","90","30","40","86","30"
"744","1","90","26","43","106","26"
"747","1","90","28","36","83","28"
"746","1","90","32","42","94","32"
"745","1","90","30","31","78","30"
"748","1","90","30","44","142","30"
"749","1","90","28","37","98","28"
"750","1","90","26","37","76","26"
"751","1","90","34","32","81","34"
"752","1","90","30","39","78","30"
